№,Наименование организации,,ИНН,Юридический адрес,Ф.И.О. руководителя,Контакты,Основной вид деятельности (ОКЕД),код ОКЕД,№ лицензии,Дата выдачи лицензии,срок действии лицензии,Вид лицензируемой деятельности,№ лицензионного соглашения,Дата лицензионного соглашения,Наименование лицензируемых работ,Причина переоформления или отзыва  лицензии,Форма собственности,Область,Район,Населенный пункт
43,O’zbekiston temir yo’llari,DATK,201051951,"100060. Тошкент шаҳри Шевченко,7",Нарзуллаев Зафар Шомирзаева Лола ,"237-93-64, 124-50-42",,,,,,,,,,,,,,Тошкент шаҳар
44,ФАЗО ШАХАРСОЗ КУРУВЧИ,МЧЖ,300450549,"220100. Хоразм вилоят Урганч шаҳар П.Махмуд,10",Адамов Ибрагим,226-83-15 513-35-41,,,,,,,,,,,,Хоразм,,Урганч шаҳар
45,ENERGIYA-SERVIS,МЧЖ,200539991,"Тошкент шаҳар Академик Я.Ғуломов, 38-50",Чернов В.Ю, 233-36-79,,,,,,,,,,,,,,Тошкент шаҳар
46,ALTERNATIVE ROME DIZAYN,ХК,205190999,"100011. Тошкент шаҳри Б.Зокиров,19-26 А, Қодирий,7",Маджитов Зохиджон, 241-20-85 181-33-99(66) 400-40-42,,,,,,,,,,,,,,Тошкент шаҳар
47,Хоразм лойиха курилиш,ШК,205726337,"220100. Хоразм вилоят Урганч шаҳар П.Махмуд,10",Адамов Ибрагим, 226-26-43 513-35-41,,,,,,,,,,,,Хоразм,,Урганч шаҳар
48,KELAJAK-S,КТ ХФ,202430660,"160133. Наманган вилоят Наманган шаҳар Н.Номонгоний,18",Уралов Исмоил, 226-30-75 772-90-75,,,,,,,,,,,,Наманган,,Наманган шаҳар
49,Мухандис,МЧЖ,201509119,"210100. Навоий вилоят Навоий шаҳар Ёшлар,8",Султонов Тошмурод, 224-98-50 324-50-77 324-50-88,,,,,,,,,,,,Навоий,,Навоий шаҳар
50,ХОРАЗМФАЙЗЛОЙИХА,МЧЖ,201586974,"220107. Хоразм вилоят Урганч шаҳар Ўзбекистон овози,62",Давлетова Нурхон, 226-67-64 510-55-57,,,,,,,,,,,, Хоразм,,Урганч шаҳар
51,ARHPLAN,МЧЖ,203808987,"100100. Тошкент шаҳар Бобур,14",Пришеп Александр, 120-55-06 175-55-06,,,,,,,,,,,,,,Тошкент шаҳар
52,SAB-TA’MINOT,МЧЖ,204024278,"100201. Тошкент шаҳар А.Югнакий мавзеси, 11",Симоняк Анна, 752-25-02 309-44-09,,,,,,,,,,,,,,Тошкент шаҳар
53,NAMANGAN SANOAT LOYIHA,КТХФ,204715779,160133. Наманган вилоят Наманган шахар Н.Номонгоний.18,Азимов Зайниддин, 226-40-65 226-47-90 ф 552-46-65,,,,,,,,,,,,Наманган,,Наманган шаҳар
54,TOLIPXOJI AKBAR,ХК,205772162,"111222.Тошкент вилоят, Қибрай  тумани Ўнқўрғон ҚФЙ",Жафаров Козим, 296-02-14 773-19-20,,,,,,,,,,,,Тошкент,Қибрай  тумани,Ўнқўрғон ҚФЙ
55,САНОАТ-ФУКАРО-ЛОЙИХА,ХК,205427265,"200107. Хоразм вилоят Урганч шаҳар П.Махмуд,10",Бакиев Максуд, 224-23-74 226-74-07 519-48-69,,,,,,,,,,,, Хоразм,,Урганч шаҳар
56,FUQAROLOYIHA,МЧЖ,204719836,"100011. Тошкент шаҳар Навоий,22 А",Кудрявцева Ирина Генадиевна, 244-90-97 244-59-31 966-54-19,,,,,,,,,,,,,,Тошкент шаҳар
57,Namangan yo’l loyiha institute,МЧЖ,200047379,"160137. Наманган вилоят Наманган шаҳар Косонсой,19",Бадалбоев Ахмаджон, 226-61-03 230-65-97,,,,,,,,,,,,Наманган,,Наманган шаҳар
58,Меъмор,ХФ,202682435,"200107. Хоразм вилоят Ургенч шаҳар П.Махмуд,10",Назарова Дилором Абдуллаевна, 0362 419-28-88 +99891 429-47-74,,,,,,,,,,,, Хоразм,,Урганч шаҳар
59,TOSH PROEKT SERVIS,МЧЖ,205857744,"100003.Тошкент шаҳар Т.Тўла, 1-берк кўча, 9",Саидов Бахтиёр, 227-30-26 110-29-26  +99894 6297916,,,,,,,,,,,,,,Тошкент шаҳар
60,SAMTIBLOYIXA,МЧЖ,200613101,"140103. Самарқанд вилоят Самарқанд шаҳар Гагарин,89/1",Халимов Хофиз, 234-05-01 226-38-94,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
61,EXPRESS ENGINEERING,МЧЖ,206850999,"140119. Самарқанд вилоят Самарқанд шаҳар Гагарин, 89","Солиев Одилжон, Солиев Собир", 8-366-223-11-00  66-223-11-00,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳар
62,УМИД-ЛОЙИХА,ХФ,204686791,"200107. Хоразм вилоят Ургенч шаҳар П.Махмуд,10",Жуматов Бобохон, 224-18-25 512-62-50,,,,,,,,,,,, Хоразм,,Урганч шаҳар
63,ИНЖЕНЕР СЕРВИС,ХФ,203667032,"130100. Жиззах вилоят Жиззах шаҳри Ш.Рашидов,100",Бахтиёр Назаров, 226-61-41 72-360-36-69,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
64,QUR-ASOS,ХФ,201903784,"100100. Тошкент шаҳри Бобур,20",Тухтаев Шохотам, 167-15-51 787-75-75,,,,,,,,,,,,,,Тошкент шаҳар
65,NAMANGAN ME’MOR,ShK,200057864,160133. Наманган вилоят Наманган шахар Н.Номонгоний.18,Абдумаликов Абдумажид, 226-25-03,,,,,,,,,,,,Наманган,,Наманган шаҳар
66,Қашқадарё нефт-газ қурилиш ва таъмирлаш,ОАЖ,200666828,"180100. Қашқадарё вилоят Қарши шаҳар Жайхун,2",Қиличев Турсунпўлат, 223-40-81 722-14-95,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
67,TEXMAISHIYLOYIHA,МЧЖ,201059039,100000. Тошкент шаҳар Ц-5/45-1,Ташпулатов Улугбек, 233-50-85 233-14-44 128-07-80,,,,,,,,,,,,,,Тошкент шаҳар
68,ЛОЙИХА-СЕРВИС,корхона,204109194,"Андижон вилоят Андижон шаҳар Миллий тикланиш кўчаси, 36",Ахмадова Озодахон Тажибаев З., 226-94-58 270-87-67,,,,,,,,,,,,Андижон,,Андижон шаҳар
69,NP ESAN,МЧЖ,201678463,111219. Тошкент вилоят Қибрай туман а.б. ТошДИЭС,Коак Генадий, 260-30-50 260-30-51 260-46-40 +99897 444-98-97,,,,,,,,,,,,Тошкент,Қибрай,ТошДИЭС
70,O’zgazloyiha,МЧЖ,200047821,"160108. Наманган вилоят Наманган шаҳар Навоий,39",Зохидов Собитхон, 226-84-36 226-43-25 571-71-00,,,,,,,,,,,,Наманган,,Наманган шаҳар
71,A’LO SIFAT ENG,ХК,206789084,"100167.Тошкент шаҳар Чавондоз,47а",Ничушкина Наталья, 241-62-14 333-93-85,,,,,,,,,,,,,,Тошкент шаҳар
72,TOHSKENT SHAHAR HOKIMIYATINING QURILISH VA INVESTITSIYALAR DEPARTAMENTI,ДУК,204112556,"100027. Тошкент шаҳар Ўзбекистон,16а",Мирхидоятов Т.Ш., 239-16-87 239-46-00,,,,,,,,,,,,,,Тошкент шаҳар
73,Махсус тараккиёт лойиха,МЧЖ,205808788,"180100. Қашқадарё вилоят Карши шаҳар Жайхун, 66",Фазлиддин Аликулов, 221-40-77 91-561-26-26,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
74,РЕМСТРОЙ ПРОЕКТ,ХФ,203481660,"120100. Сирдарё вилоят Гулистон шаҳар Навоий,46",Дон Борис, 225-39-28 245-54-95 +99894 1684734,,,,,,,,,,,,Сирдарё,,Гулистон шаҳар
75,PROEKT-SERVIS,МЧЖ,200038319,"160100. Наманган вилоят Наманган шаҳар 3-митти туман, Болалар ижодий маркази",Садовников Владимир, 232-06-29 232-76-64 496-27-24,,,,,,,,,,,,Наманган,,Наманган шаҳар
76,YANGIYER-MIRZACHUL-LOYIXA,МЧЖ,200328985,"121001. Сирдарё вилоят Янгиер шахар Пахтакор,4",Базарова Ирина, 350-46-71 91 504-91-71,,,,,,,,,,,,Сирдарё,,Янгиер шахар
77,Узгазлойиха,МЧЖ,200317635,"120100. Сирдарё вилоят Гулистан шаҳар Истиқлол,107",Шодмонов Ганижон, 25-28-11 237-26-00,,,,,,,,,,,,Сирдарё,,Гулистан шаҳар
78,Сурхондарё йўл лойиха институти,МЧЖ,200471723,"190104. Сурхондарё вилоят Термез шаҳар С.Рахимов,6",Равшанов Хамдам, 223-70-49 223-35-40 224-77-82,,,,,,,,,,,,Сурхондарё,,Термез шаҳар
79,QURILISH SOHASIDAGI MENEJERLARNING MALAKASINI OSHIRISH VA QAYTA TAYYORLASH MARKAZI,ДК,205201001,"100011. Тошкент шаҳар Навоий, 13",Газиев Учкун Абдуллаевич, 244-36-09 241-14-84 244-36-09ф,,,,,,,,,,,,,,Тошкент шаҳар
80,TMM-ARX,ХК,200637317,"100100. Тошкент шаҳар Бобур,20",Мирошниченко Юрий Георгивич,253-29-62 253-29-33 187-29-63,,,,,,,,,,,,,,Тошкент шаҳар
81,МУБОРАК ДИАНА СЕРВИС,ХК,300028557,"220100. Хоразм вилоят Урганч шаҳар Аль-Хоразмий,23",Акимова Муборак, 225-54-30 290-61-89,,,,,,,,,,,, Хоразм,,Урганч шаҳар
82,JIZZAX TADQIQOT,МЧЖ,205600296,"130100. Жиззах вилоят Жиззах шахри Ш.Рашидов,63",Буранова Мавзуда, 226-68-92 327-90-18,,,,,,,,,,,,Жиззах,,Жиззах шахар
83,O’ZKO’MIRSANOAT ITLI,МЧЖ,203889420,"Тошкент вилояти, Ангрен шаҳри, Ибн Сино кўчаси, 3","Мирзалиев Ризбек, Абдурасулов О.Э.",244-37-01 244-51-06ф 448-30-51 244-86-51 244-51-06,,,,,,,,,,,,Тошкент,,Ангрен шаҳар
84,КУРИЛИШ ЛОЙИХА ЭКСПЕРТИЗА СИНОВ,МЧЖ,205745947,151216. Фаргона вилоят Олтиариқ туман Шарқ тонги кўчаси,Бахтиёр Мирзарахимов, 91-115-78-00 90-560-26-25,,,,,,,,,,,,Фаргона,Олтиариқ,Шарқ тонги кўчаси
85,UZJAMOALOYIHA,МЧЖ,201514667,"200120. Бухоро вилоят Бухоро шаҳар Афросиёб,303",Негматиллаев Боходир, 224-15-89 224-38-55 274-12-36,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
86,Фазовий конструкциялар бинолар ва иншоотлар зилзилабардошлиги,Илмий бирлашма,202959587,140401. Самарқанд вилоят Жомбой шаҳар Саноат зонаси,Раззоқов Саидмақсуд, 269-60-43,,,,,,,,,,,,Самарқанд,,Жомбой шаҳар
87,Сирдарё мукаммалтаъмир лойиҳа,МЧЖ,205121061,"120100. Сирдарё вилоят Гулистон шахри Халқлар дўстлиги,50",Абдикадирова Шарипа, 225-46-38 +99894 359-56-52 ,,,,,,,,,,,,Сирдарё,,Гулистон шахар
88,Узгазлойиха,МЧЖ,200718223,"140158. Самарқанд вилоят Самарканд шаҳар Буюк Ипак Йўли,15",Наимов Абдунаби, 222-94-26 241-61-40,,,,,,,,,,,,Самарқанд,,Самарканд шаҳар
89,O’ZGAZLOYIHA институти Андижон вилоят ишлаб чикариш булими,МЧЖ,200241390,"170126. Андижон вилоят Андижон шаҳар Бобуршоҳ,1а",Содиқов Исмоилжон Рахимов Усмонжон, 8374 227-61-20 +998914935575,,,,,,,,,,,,Андижон,,Андижон шаҳар
90,AR- PARDOZ,МЧЖ,203259168,"100213. Тошкент шаҳар Мажнунтол махалласи,115",Саилханов Рашид, 295-61-74 738-59-87,,,,,,,,,,,,,,Тошкент шаҳар
91,BUXORO JAMOA LOYIHA,МЧЖ,206776204,"200120. Бухоро вилоят Бухоро шаҳар Афросиёб,303",Исаев Замир, 224-49-12 191-49-12,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
92,ВОДИЙ КОММУНАЛ СЕРВИС,МЧЖ,206628330,"150100. Фарғона вилоят Фарғона шаҳар. Ал-фаргоний, Анфитетр биноси","Хамидская Елена Петровна, Ахунов Зафар", 73-711-00-10  98-276-71-60,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
93,NEFTGAZ SANOAT LOYIHA,МЧЖ,205910623,"100029.Тошкент шаҳар Т.Шевченко,2",Шароф Рустамов, 150-75-01 150-75-05,,,,,,,,,,,,,,Тошкент шаҳар
94,Джал,ХФ,200611302,140107. Самарқанд вилоят Самарканд шаҳар ул. Бируни  69  Блок А   кв. 2,"Лесних  Людмила Николаевна, Сулейманов Элнур Муеддинович ", +99890-250-13-67    +99890-250-13-64,,,,,,,,,,,,Самарқанд,,Самарканд шаҳар
95,ГАЗТАЪМИР МОНТАЖ,ХИЧК,204703248,"180117. Қашқадарё вилоят Қарши шаҳри С.Шодиев,4",Хикматов Иркин, 225-18-42 +99898 775-77-63,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
96,MEGA ART PROEKT,МЧЖ,201723748,"Наманган вилоят Косонсой шаҳар Навоий, 25",Хамраев Равшан, 69-65-25-165 +99869-250-23-30 8593 970-02-53,,,,,,,,,,,,Наманган,,Косонсой шаҳар
97,ARHIMAX,МЧЖ,204628847,"160108. Наманган вилоят Наманган шаҳар Навоий кўчаси,38",Абдурахманов Айибхон, 233-72-40 771-77-11,,,,,,,,,,,,Наманган,,Наманган шаҳар
98,ЖИЗЗАХ-КУРИЛИШЛОЙИХА,МЧЖ,205373682,"130100. Жиззах вилоят Жиззах шаҳар Ш.Рашидов,100",Муборак Ахунбабаева, 226-25-70 72-709-86-77,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
99,MAXAM-CHIRCHIQ,ОАЖ,200941518,"Тошкент вилоят Чирчиқ шаҳар Тошкент,2",Сайдахметов Хотам Саипжанов Хуршид, 8-37071-934-11 97-759-77-97,,,,,,,,,,,,Тошкент,,Чирчиқ шаҳар
100,OLTIARIQ DESIGN,ХК,300935362,150100. Фарғона вилоят Олти ариқ туман Қапчуай қишлоғи Шарқ тонги ,Эркабоев Рахматжон, 226-37-33 226-01-50 944-40-20 531-30-35,,,,,,,,,,,,Фарғона,Олти ариқ,Қапчуай қишлоғи
101,ZAMON LOYIHA SERVIS,МЧЖ,300643434,"100060. Тошкент шаҳар Қўқон йўли,34",Шукурова Сайёра, 555-88-87,,,,,,,,,,,,,,Тошкент шаҳар
102,Жиззах келажаги,МЧЖ,300472932,"Жиззах вилоят Жиззах шаҳар Буюк Ипак Йўли,3",Ялгашев Аллоёр, +99872-325-27-35 ,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
103,YO’LDOSH-LOYIHA,МЧЖ,200634899,"100070. Тошкент шаҳар Мироқилов,68а",Шукуров Зафар, 254-17-72 254-92-01 724-04-01,,,,,,,,,,,,,,Тошкент шаҳар
104,UMID BAXODIR O’GLI,ХФ,204148123,"220100. Хоразм вилоят Урганч шаҳар Ал-Хоразмий,23",Ханалиев Б, 226-07-67 510-36-45,,,,,,,,,,,, Хоразм,,Урганч шаҳар
105,Жиззахкишлоксувлойиха,МЧЖ,200343350,"130116. Жиззах вилоят Жиззах шаҳри Маданият махалласи Маданият,10",Утяков Руслан., +99872-577-60-66,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
106,ARMAS,МЧЖ,201831867,"140158. Самарқанд вилоят Самарқанд шаҳар  А.Икромов,1",Вахидов Ринат, 222-57-55,,,,,,,,,,,,Самарқанд,,Самарканд шаҳар
107,MEMORQURILISHLOYIHA,МЧЖ,200718190,"140158. Самарқанд вилоят Самарқанд шаҳар А.Икромов,1",Вахидов Ринат, 222-90-19 224-70-28,,,,,,,,,,,,Самарқанд,,Самарканд шаҳар
108,NAMANGANINVESTLOYIHA,МЧЖ,201593174,"160108. Наманган вилоят Наманган шаҳар Аҳси,60",Жураев Зокиржон, 233-14-46 233-06-29 69-560-78-88,,,,,,,,,,,,Наманган,,Наманган шаҳар
109,ХОРАЗМ СУВ ЛОЙИХА,МЧЖ,200407934,"220100. Хоразм вилоят Урганч шаҳар Ўзбекистон Овози,2а",Рахманов Мэлс, 226-61-48 518-55-58,,,,,,,,,,,, Хоразм,,Урганч шаҳар
110,PARVIZ PROEKT SERVIS,МЧЖ,300398407,"Самарқанд вилоят Самарқанд шаҳар Бустонсарой кўчаси, 80-А",Қахоров Х, 261-38-94 231-11-56,,,,,,,,,,,,Самарқанд,,Самарканд шаҳар
111,ЛОЙИХАЧИ-ЮГС,МЧЖ,205035588,"Хоразм вилоят Урганч шаҳар Саноатчилар,9",Рузметов Куранбой, 226-63-44,,,,,,,,,,,, Хоразм,,Урганч шаҳар
112,Давр-АТ,ИИЧТФ,200142539,"Фарғона вилоят Фарғона шаҳар Мухандис,11",Уринова Турсиной, 224-22-58,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
113,АНДИЖОНЙЎЛЛОЙИҲА,МЧЖ,200230666,"Андижон вилоят Андижон шаҳар А.Юлдашев,48А",Мухамматтурсунов И, 226-88-23 226-88-94,,,,,,,,,,,,Андижон,,Андижон шаҳар
114,УЗГАЗЛОЙИХА НАВОИЙ,МЧЖ,205142882,"210100. Навоий вилоят Навоий шаҳри Гвасалия,2а",Хотамов Хусан, 223-98-46 323-55-11,,,,,,,,,,,,Навоий,,Навоий шаҳри
